0,i used college hunks to move in june of 2016 and i just love them harry and john were so helpful and professional i still remember them 2 years later the prices were competitive but what helped me was that they gave me a quote over the phone after giving them an estimate of how much i had to move rather than coming out to see it that worked much better for my lifestyle my apartment was a little tough to maneuver with my stairs and they were able to get every piece of furniture in no problem i was so nervous but harry and john really put me at ease they were finished unloading my truck in 45 minutes they put everything where i asked them to
1,great for younger kids we love coming here to let the kids wear themselves out the play area is always clean there is an area with tables and chairs that you can bring food or sit with your coffee while your kids play my kids can play here for hours without getting bored as they get older 12 13 i think it may be less appealing for young kids 2 years old or so they can get stuck up in the play area it s not very easy as an adult to rescue them there is always an attendant there though so i m assuming they could help be sure to bring socks but if you forget they have clean ones you can borrow during the day through the week during school is less crowded when school is out and especially on days where the weather isn t nice it can be very crowded we have been there when there was a long wait to get in since it was full overall it s a great place to let the kids play and for the adult to relax
2,this calzone shop offers an array of calzones and sauces on the side to choose from there are enough options to offer variety but not so many that younger overwhelmed the atmosphere is great with several community tables or tables to easily seat larger parties we went at dinner time on a saturday and had no problem finding a seat
3,the food is always great here easy parking whenever we are in the area always go here menu has a good variety
4,very friendly professional and helpful people work here i find a great piece of furniture good quality and in very good shape that didn t break my budget bonus they offer very affordable interior design services as well
5,always have the freshest most delicious donuts in st louis if you are in the area they are definitely worth the trip remember cash for orders under 10 00
6,daniel did an awesome job troubleshooting our fireplace several other fireplace companies were not willing to come out based on the brand of the fireplace he was very knowledgeable and happy to explain the issue very happy to have daniel as a resource
7,best chiropractor in philadelphia if you reading this review read no more just schedule an appointment
8,i love mint i ve only ever had good meals here fairly priced delicious food good vegetarian options
9,we had another great lunch at mr b s on 3 12 15 on weekday lunches the special cocktails are 1 50 3 on this visit the bloody mary s and martini s were 1 50 we had a great time stand out entree was the roasted chicken breast stuffed with boudin served on top of sweet potato hash
10,i ve been going here since they were basically a closet behind the hub now being a downtowner it s great to see how she has grown up to suit the locals needs from pet food to pasta to great selection of beer and wine everything is there along with a moderate amount of fresh fruit veggies and herbs anything you need in case you forgot when you were at publix now add in some gourmet chocolates and heat and eat meals that are well beyond your grocery freezer and cooler sections is why this place gets 5 stars if publix is 4 stars this place is a 5
11,hippie hi is the new spot to go to the boba teas are some of the best i ve tried in a long time the new spot is absolutely beautiful great spot to hang out and socialize while enjoying a pita sandwich and tea i definitely recommend and would come here again
12,this place is amazing my friends and i came to nola for the weekend and i was in charge of food this place did not disappoint my friends and i loved it we even ended our trip here and the waitress remembered us
13,i am very pleased to be writing a five star updated review for burger study after my first review i was contacted by management and offered a gift card when the manager who originally offered me the gift card left the restaurant the new management still fulfilled his promise and promptly sent me a gift card for a return visit which we did last month our second experience was far different from the first our burgers were perfectly cooked and not burnt at all this was the exact quality of burger i was expecting from a restaurant associated with st elmo the burgers were flavorful and all the toppings were fresh the presentation is also really impressive like our last trip the potato salad was to die for i tried the homecoming this time and wow was it good the root beer glazed bacon was so thick and the root beer glaze gives it a phenomenally sweet but smoky taste i will definitely get it again next time as far as value goes i will say that burger study is a bit more expensive than its main competitors in town since sides are not included a dinner for two without drinks will cost you around 50 however i do like that it offers a wide variety of burger and side options we will certainly be back
14,i have avoided dental treatments for a decade or two but this year i am getting everything done because i love desert dental the front office ladies are kind and helpful and dr barney is the best he is funny and personable and makes sure that you are as comfortable as possible i had my wisdom teeth taken out the day before thanksgiving and they called me on thanksgiving a holiday to make sure i was doing ok when i did have a minor complication i came straight to the office with no appointment and they helped me almost immediately i can t recommend them enough
15,this was our first experience eating lunch at cheddar s our server was joey we really appreciated that our food was made after we ordered it rather than being prepared hours before joey brought us coffee and my test of an attentive server keep our coffee and water filled up when we were low on coffee instead of warming up our coffee he brought new cups this was typical of the excellent service the food was superb i had a medium rare steak it was actually cooked medium rare which does not always happen the flavor of all our entrees and side orders was very tasty we plan to go back frequently heartily recommended the wait is noted in other reviews and it s because of the quality of food if you want to avoid a line go to a fast food place
16,the noodle was cooked al dente which is a plus i hate over cooked noodles the vegetables was cooked just right i added dumplings to my order there was only one piece i expected at least 2 with the price they charge the pork was well flavored the soup could of been more piping hot i know it s the summer but asian noodle soups are always served piping hot where it ll burn your mouth once you take a sip of the broth the soy sauce egg was delicious
17,we went for lunch over the weekend it was the best lasagna i ve ever had the beer was cold and the service was great we really enjoyed our time there
18,i called and spoke with daniel and he was professional and provided a quote over the phone when i arrived i was greeted by john who was from my hometown the bronx he was professional and gave me a discount i was satisfied with they are great here from work to personality which is difficult to find here or at least i have not found it until coming here i waited a while but due to the staff s company and humor the time went by fast and the car was ready to go i would definitely recommend them for service all the front desk staff are helpful and have great personalities jose worked on the car and did a great job completely satisfied
19,this place needs to be your new lunch spot if you like fresh healthy food look no further delicious omelettes and sandwiches seem to be their staple but their smoothies are a tasty option as well easy parking available with a friendly staff i don t see a reason why you should not stop in
20,i ve gone twice now with my daughter 2 5 y o on saturday mornings while i ve waited an hour both times we ve enjoyed our brunch both times i m still rocking pregnancy but am certain their mimosas and cocktails are great will try post baby my daughter loves their pancakes they are seriously the best with a perfect sprinkle of cinnamon sugar on top five stars right there i ve gone with both the omelette and french toast and have loved them both i plan on working down the menu over the course of this year while i m working in the area
21,this is the place we have been searching for my friend and i have tried several nail salons in tampa and nobody could do designs and stuff like how we wanted so we found this place on instagram and we will never go anywhere else again we drive almost an hour to get here but it is so worth it i have had 2 different people who both did exactly what i wanted and are extremely talented thank you pamela and steven you all do amazing work
22,i popped in for a quick lunch with my 5 year old and we knew we were onto something good the moment we walked in and the delicious smell hit our noses the person that took our order was helpful friendly and eager to help us figure out what we d like best we chose our seat among the clean well laid out space the food showed up after not too long we had an order of the wings and loved them the seasoning was perfect and they were exceptionally moist i ordered the chili which came with the best corn bread i ve ever had we got an order of the ribs to go which the rest of the family devoured they are fall off the bone moist and again seasoned perfectly the bbq sauce options were all memorable i look forward to being back with the whole crew
23,the wife and i went down to buy a new bed and ended up spending a whole lot of money it was because of thomas who is a great person and his customer service was out of this world thank you very much
24,stoneyhead brewing is one of the most inconspicuous and even overlooked breweries in our region which is a real shame since there are fantastic and enjoyable brews on tap here that any beer hunter in reno should definitely check out if you have never visited stoneyhead before make sure to ask about a tasting flight on your first visit for no charge you will get small splashes of just about everything they have on tap i really appreciate this sort of customer service as it is a fine way to let newcomers get an idea of what suites their own tastes especially since they don t focus just on one type or style of beer here but instead brew a little bit of everything from pales to porters i tried a few things tonight since it had been a good while since last i passed through their doors if you are looking for something not so heavy i would recommend both the d light and especially the honey pale the latter of which i found utterly delicious and perhaps one of the better light pales i ve had from around our region the irish red is also quite delightful and to which i can eagerly give thumbs up to on the stronger side of things the sneak attack is very enjoyable british ipa which has a nice lightness and sweetness to it much different from the ultra bitter ipas i am accustomed to just watch out as this aptly named beverage will hit you hard if you re not careful some drinks to consider are the mixed beers which are like cocktails made from two of their brews combined together the sneaky redhead sneak attack and the irish red is fun to try but for my money i would go for the honey porter honey pale and their porter which really made a balanced rich and sweet tasting combo there are a couple barrel aged beers i was regrettably not able to get to this evening however there are two very intriguing spiced ipas which i highly encourage any customers to try out the beers are like a paired set one themed for spring and summer the other for fall and winter the summer is a combo wit belgian ipa which tastes surprisingly light and sweet flavored with things like orange peel the autumn in contrast is a brown ipa which is more robust and flavored with spices we normally associate with the colder months and if after enjoying a pint or two you want some beer to go then you can fill up some growlers or buy much of their beers in bottles which are also available in stores around town located in a converted warehouse in an industrial park off south longley know that if you plan on visiting parking can be a little tight as a lot of the spaces are reserved for some of the other businesses in the complex however i think if you are visiting after regular business hours you shouldn t have a problem once you walk in you can snag a place at the bar or at one of any number of tables benches or armchairs strewn about the room service is exceptionally friendly and attentive with a cool upbeat attitude if you need something to munch on while you drink the proprietors generously keep bowls of popcorn and peanuts constantly full on the bar as well as offering a few snacks for sale and having menus for the restaurant just a few buildings away should you want to walk over for dinner there are some bar games present and even a bbq if you want to bring your own stuff to grill up outside i am sorry it has taken me a while to circle back to stoneyhead it most certainly won t be another couple of years until next i stop by for a drink cheers guys
25,the old original owner when it was first open was a prick i love the new staff that took over my favorite thing about this place is they have a bunch of pizzas up front so you aren t stuck with a plain and a pepperoni when your grabbing a quick punch good food nice people
26,my wife treated me to a birthday massage we had the couples massage by kathleen and deanna both therapist were excellent i have a significant case of tech neck thanks to typing psych evals day and night for the last 10 years i was totally relaxed my neck feels better than it has in years the therapists were friendly and we chatted just enough to showcase warm friendly personalities bijou recommended two thumbs way up
27,best wings in nashville i highly recommend the bone in always friendly always lively you ll feel right at home
28,i literally had the best grilled salmon of my life here this place is amazing the food is extremely good my husband had chimichanga and he is also very happy with his food the service was great too i can t recommend this place more
29,this place sells my favourite bubble teas and such in west edmonton mall the line up always looks so intimidating from a distance once you realize that the line always moves quickly it isn t so bad coupled with the wide selection of options i almost welcome the time that it can take to wait i highly recommend the dream bubble tea which is taro and coconut it is my absolute favourite
30,bustling casual brunch spot on the touristy strip of state street with solidly good food their menu includes a make your own hash option a good differentiating element in the sea of typical brunch fare we would definitely go back
31,this was on my list of places to try in 2018 it was fine but i expected more than just fine the drinks were tasty but seemed really tiny the corn dog appetizer was tasty not exactly what i was expecting but good the entrees were good but seemed pricey for the portion and then discovering they come with no sides my fault for assuming but to add a side would definitely take it to too pricey for what it is was really surprised the jambalaya didn t even come with any sort of bread
32,so glad these folks are open again after the fire mudslides my huevos rancheros friend s enchiladas suisas were terrific my husband s chicken tacos not so much dry chicken not very well seasoned the guacamole and chips per usual were fantastic and the service even more cheerful helpful than ever get out support our local businesses
33,lovely people great food received rave reviews from guests excellent service and good planning help being my first time having an event at my home i was particularly interested in everything going smoothly the waitstaff explained what hors d oeuvres were being passed and were very friendly i couldn t have asked for better the manager did a great job too unfortunately the bartender was not familiar with manhattans or old fashioneds which i specifically wanted every time anyone asked for one she had to refer to a recipe or ask how they were made i had requested a specific bartender i had met at another party she was guaranteed to be my bartender but she was replaced by another at the last minute without anyone notifying me she was available but was pulled off at the last minute for another party i was very peeved by this and called the party planner they apologized and tried to make it right for a cost of 2 200 they reimbursed me 80 not exactly wanting my business i guess
34,soy is a korean fusion spot and it s top notch one of my favorite places in the city the food is consistently delicious and the staff is super friendly if you love asian food this place is a must you have to stop in if you want a super authentic korean meal this may not be your spot it s teriyaki and fusion not a old school course meal bim bim bap in the skillet is incredible my favorites are the fried rice dishes they even have a hawaiian fried rice with spam solid this place is worth it enjoy
35,wow i wish we had a place like this in our home town it s probably good that we don t since i d be here every day for lunch the menu has a wide array of sandwiches and wraps and the hot bar was killer the veggie wrap was exceptional and my husband and i enjoyed the french onion soup the market had plenty of eye catching trinkets and home goods great place to dine and shop
36,this place is my favorite place to eat they cooked my steak just how i asked medium rare but more of the rare side the staff was good the only thing is this server sat right across from where i was sitting and felt like he was watching me eat he was trying to watch the game but it was just hovering and kinda awkward but besides that it was amazing
37,if you are downtown this is a must great music food was delicious and staff very friendly we were in nashville 3 days and stopped in each day musicians play acoustic so you can enjoy and still have a conversation check out their 2 for 1 beers during happy hour
38,they have the best sandwiches ever they are fast and every hoagie i have gotten from there is just delicious counter person was very helpful my favorite is the caprastami and italian recommend totally
39,honestly i was disappointed in the food here i ve heard nothing but good things but i wasn t impressed by the food at all i had the fajitas shrimp and steak the steak was super chewy i couldn t even eat it i got so full off of the chips and queso which was yummy that i didn t care took it to go and i tried to re heat it and give it another shot and i ended up feeding the meat to my dogs lol the margaritas were on point tho i can say those were good i don t think i ll be coming back anytime soon tho also the music was so loud in the small lower dining room that my date and i had to move to the bar so we could hear ourself talk also it was hip hop where s the mexican spanish music lol
40,great chicken rice bowl nice guys shrimp also looks good fresh ingredients will return next time i cross broad jarritos is a nice touch
41,every time i m in philly i make a point to stop here for a sub some chicken cutlets their famous ravioli i suggest calling ahead to order because it can be a little bit of a wait sometimes but i promise it s always worth it their italian is out of this world and everything is fresh as could be with a perfectly baked italian bread to complete the wonderful and generous meat assortment
42,i have been looking for excellent sushi in tampa i finally found it after a year i have not even been to the restaurant yet i found kelp sushi on uber eats home delivery food is never as good as what you get at the a actual restaurant the quality of the kelp sushi the presentation the flavor the portions were all absolutely perfect on both occasions the rolls were not made with too much rice most sushi places make the sushi look big by using way too much rice i always use a lot of wasabi and soy i tried part of three different rolls without either soy or wasabi and it was still amazing i cannot wait to sit inside and enjoy this incredible sushi i will not go anywhere else in tampa for sushi from now on this is the one
43,my husband and i decided to try the silverspoon this morning for breakfast i ordered the french toast with berry compote and a side of bacon the french toast was fluffy with a crispy crust it rivaled the french toast i ate in south jersey diners as a kid and the bacon was caramelized to absolute perfection hubby ordered the mushroom bisque to start off with and was very pleased he then ordered the silverberger he is quite picky about his burgers but said midway through this might be the best burger i ve ever had i just had to write a review after our visit today because the food was truly exceptional
44,fun unique and incredibly satisfying sauce on the side is on of my favorite spots in stl and if you haven t been there yet you are missing out for real the pricing is fair the atmosphere is always nice definitely would recommend for a chill and casual spot to eat
45,service is impeccable ate at the bar and larry delivered some of the best service i ve ever had anywhere other servers were great too the food was delicious i went back for my second visit to the city just for the bbq shrimp and it did not disappoint the second time around i also had the gumbo ya ya and pecan pie but the bbq shrimp outshines great experience here definitely plan on enjoying a meal or two here when i m back in nola
46,quaint restaurant to grab a scrumptious breakfast and coffee we will definitely be going back to try lunch or dinner
47,all i can say is wow i made a reservation last minute for 25 people and priya made it happen i came from atlanta to philly and she literally took care of us like family she had the table ready and even got graduation balloons for the graduate they took our huge cake and stored it for us and also put candles on it she brought out the most amazing appetizers and the food was phenomenal we got paneer tikka masala paneer lacha methi mataar spinach kashmiri lamb chicken tikka masala their chili cheese garlic naan is to die for we brought our own beer and her servers stored it and brought more out for people as needed i ve never felt at home more than 16 hours away than as i did that night we left them lots of yummy cake and we cannot wait to go back again if we are ever in the area thank you priya
48,this is my new favorite bakery i am vegan always on the lookout for a good vegan cupcake i found it here i was only able to snap a pic of the leftover wrapper because it was that good vegan chocolate cupcake i will definitely go back
49,the restaurant itself is beautifully crafted and decorated the elegant ambience sets the mood and as a tough critic i love it the food is not rushed and it s delectable taste gave me a memory i will never forget service is fast and server was extremely polite amazing awesome food experience
50,delicious restaurant and the staff is so friendly loved my experience here and hope to be back soon
51,not only was the food delicious but they have a variation of food to choose from apart from that the music was great the family and i enjoyed our time here if you like authentic mexican inspired food with the music to go along with it i m telling you this is the place
52,hankering for south indian dosas this is the place there are good indian restaurant alternatives to this hole in the wall however my taste buds bring me back here it is the only reason for the 4 stars tardiness service are out of left field especially the bathrooms need attention i really can only attest to some of the appetizers and the dosa s and their garlic naan s have always been perfect choose your dosa s and enjoy the food not the surroundings
53,we took the ferry operated by hubbard s marina from ft desoto to egmont key this morning both captains were great deviating both going out and coming back to watch dolphin activity in the area the boat was clean the island is a hidden jewel there are picnic tables and shaded areas to relax as well as beautiful uncrowned beaches seabirds and tortoises abound along with the ruins of ft dade well worth the 20 ticket to take the ferry
54,awesomeeeee place came here with friends at 5 30ish for dinner to beat the crowds the place is so cute and we loved the logo we were seated immediately the waitress was superrrrr friendly and helpful we got the cheese platter called ben s bread spread to split for the appetizer ohmggggg soooo tasty homemade honey and delicious cheeses and the bread was excellent it was out of this world and worth getting my sister and i then split the pizza with the spicy bianca pizza we couldn t even finish it all after that appetizer sooo delicious with the peppers and cheese and thin crust we also couldn t resist getting a whoopie pie and brownie for the road this place is a gem
55,it s always great when you live near a restaurant that serves good food unfortunately i have mixed feelings about bayou bistro i ve had food from here three times during each time it was different my first visit i had a chicken w macaroni the chicken was very very tasty because it was fried to perfection with flaky crispy skin i liked the macaroni as well the second time i ordered there was zucchini on the plate with the macaroni the chicken was nothing like the first time the third time i had beans and chicken the beans had a certain i didn t love again the chicken fell short and was nothing like the first time this shows me the inconsistency of different cooks and how they cook it shouldn t matter if you have 10 different cooks my mom should not be different every time i order from you
56,my friend bought one of the honey lavender cakes for her birthday i had to ask her where she got it since the sliver i had that night was delicious today i went into cake life to get a slice for home it s a clean white shop just how i imagine my future kitchen to be and there were amazing cakes and bars and cookies in the case even nanaimo bars i wish i could have gotten more but i had to stick to the cake slice i d already ordered about half the tables were occupied with people talking and eating it s a neighborhood spot i m so sad yet so glad it s not closer to my house
57,luke s is awesome if your looking for some place that s a bit fancy but still has friendly vibe this is definitely the place i had the shrimp and grits and it was awesome there s a drink named something 75 that ll give you the right amount of tipsy for the meal and the hummingbird cake was worth every bite definitely a bit pricey but it works well for a group of friends or a fun date word to the wise make a reservation
58,excellent food service servers prices i had 100 people at my event and everyone is still talking about how good the food was look no further if you need a caterer
59,such a great local place never get tired of going here never too long of a wait food is sooo good cuban sandwich is my favorite
60,amazing place by far my favorite restaurant in the new orleans area the food is wonderful my favorite is the bbq shrimp and the staff is so friendly great location on the edge of the bayou right next door to jean lafitte swamp tours really fun with a great view of the swamp and occasionally some alligators fun relaxed atmosphere and a really good bar
61,i got the best haircut from kirstin she even took the time to teach me properly blow drying technique and what type of brush to use she also taught me the easiest way to get those messy waves with a curling iron i walked away with a cool trendy haircut and the knowledge on how to keep it looking good
62,calie is the best she s always so sweet and does my nails perfectly she takes her time and goes above and beyond also her sister tracy is really good she s done my sisters nails and mine one time and they looked great if you go there ask for either calie or tracy
63,this is an awesome place service was great and i highly recommend the churrasco hanger steak with a side of crispy brussel sprouts substituted for the fries
64,i m so excited that this spot has opened up just a couple of minutes away from my place i stopped by with friends during soft opening feat an abbreviated menu for a charity event for frankie s friends and was blown away the food is fantastic but the cocktails are the highlight deliciously crafted my favorite was the f 18 i absolutely recommend
65,admittedly i think of take out joints as less than real restaurants in pikpon s defense they do have four tables but it is primarily a take out pikpon has totally obliterated my feelings on take out places their food is excellent not greasy and not salty my fingers did not swell to the size of grapefruits like they do after nearly all other take outs primarily chinese and including pizza places we ordered the chicken and shrimp shu mai steamed tom yum soup chicken pad thai and red curry with tofu nothing let us down the shu mai was simultaneously dense and delicate with a sauce that rivals any other dumpling sauce i ve had the tom yum soup had the most potent of lemongrass giving it an excellent spring like flavor my partner cannot eat spicy food so the chicken pad thai was perfect the noodles were done perfectly and the seasoning was perfect you could really taste the crushed peanuts we will be headed to thailand later this year and i m sure he will order this dish every chance he gets my tofu red curry was just the right level of heat without burning your throat or anything else just a nice spice in your mouth the sauce was not really creamy but nonetheless it could not have tasted any better what was impressive was the firm and browned tofu if i could make tofu like this i d probably make the leap to vegetarian because it was every bit as good if not better than any chicken dish i ve ever had what i also found best was it is not noodle based but bamboo shoots taking their place i remarked to my partner that i could see using these as a vehicle for spaghetti gravy so it was great to have such a tasty dish without the carb overload one of the reasons i consider take out subpar is because the texture changes in the take out containers i m unsure as to why we did not have this problem with pikpon i would say in my case it could be because of the bamboo shoots replacing the noodles but the pad thai had noodles and they did not become altered by the containers thankfully pikpon is local to our residence i can see becoming a regular visit here since the price is quite reasonable for the elevated level of their food i had stopped eating chinese food a while ago mainly for health purposes but i ve missed it now i have a far superior alternative to that
66,love this place old world charm things you don t see every day huge wine and cheese selections bakery to die for wonderful gelato and homemade raviolis pasta sauces meatball mix is great prepared foods wonderful just don t go the day before a holiday because you ll never find s place to park
67,came for lunch and sat outside scenery was awesome and service was good ordered the grouper platter and the fish was dry and tasteless asked for home fries but got french fries my wife ordered a cheeseburger and it was also dry and bland my assumption is the breakfast food is much better
68,super convenient location but be ready for incredibly loud music until about 4 am if you stay on bourbon street obviously this isn t the hotel s fault but the extremely narrow balcony on bourbon street is great spot excellent coffee shop and no complaints about service or quality just need to widen and connect all balconies,the food was good but not great but the service was absolutely awful they really weren t all that busy so it was surprising that our server literally only came over a couple of times during our 90 minute lunch had to walk up to the bar for my second drink and again to get a to go cup in addition we were shocked that they charged us 14 50 for a coffee with 1 shot of bailey s the rest of the prices weren t bad this one just came out of left field they had an apple pie tini listed as their drink special and it was fantastic trust me it s not some dainty drink in a martini glass it s a 16oz glass of straight vanilla cinnamon apple whiskey give it a shot
69,pleasant place great service parking can get difficult but roadside parking with a few parking lots are available came here for restaurant week loved the salads fresh buttery foccacio bread sticks we asked for extras and pizzas cauliflower pizza was our favourite wood fire taste to it delicious loved the deserts devoured them antipasto platter was good first course but they mentioned roasted veggies as part of the dish but only thing roasted was cauliflower there was olives and roasted red pepper seemed out of the can nevertheless very tasty and finished the plate pasta was decent not outstanding
70,i love getting a mani pedi at the salon de belleza i always schedule my appointments with cindy she is wonderful and rose the owner is conscientious to every detail in the salon
71,our party of 6 arrived on a busy sunday afternoon so there was a wait to be seated and a longer wait to get our food we were hungry so any wait seemed too long the food was good and the margarita pizza was very good fresh and made for really good leftovers the quality food saved the day
72,we came here originally to try the frozen yogurt from the self service area or the boba tea but we were intrigued with the rolled ice cream so we got that instead we ordered the cake walk flavor strawberry cheesecake and received an unexpected amount of ice cream for 7 it contained 3 large rolls that was filling for 2 people it comes with whipped cream and the choice to add more toppings they even have an area for vr gaming that we tried out my boyfriend tried a couple games and so did i but warning the vr headset has a smell in it probably from the accumulation of people s head and face sweat we had never played any vr games before and was lost most of the time but the younger boy behind the counter was shouting out tips and instructions which was nice we will be back to try the boba tea and self service frozen yogurt
73,legit i m a huge fan of mexican food and this place tops the charts the chili relleno was to die for i m a texture eater and normally they can be soggy because of the egg wash but this was perfection i got the special combo i believe it was called it had one of everything everything from the relleno the crispy beef taco fluffy tamale to the rice and beans were absolute perfection i m not one to rant and rave about a restaurant doing their job selling good food but this place is definitely an exception give it a shot you won t be disappointed
74,buddy brew is a very trendy coffee shop based in tampa their coffee is flavorful and their presentation is nice i really liked the fact that their lattes and cappuccinos have beautiful latte art on top the store has a beautiful modern design that reminds me of coffee shops in new york this particular location is in hyde park village the benefit is that parking is free the down side is that seating is limited the store is also extremely cold so it is uncomfortable to sit and socialize for very long you may be better off getting your coffee to go and walking around hyde park village instead
75,from the first step you take in the door this place is top notch clean shop really professional and personable barbers this was my first time here and got my hair cut by ish and i have absolutely zero complaints the man knows his stuff and makes sure your cut is perfect i will definitely be back
76,ok my initial disappointment has been somewhat eliviated but the opryland resort is still lacking a world class resort feel perhaps it s the purpose and theme of the hotel there are some really nice amenities especially the shopping the restaurants are somewhat disappointing although many choices it kind of feels like different versions of the same choices pricing is a premium but food is not finally i still don t think the resort understands what is necessary to be world class it s not the property rooms or even the pricing it s the lack of that special sense of being taken care of as a marriott spg property benchmark the phoenician camelback inn or desert ridge in scottsdale to see how it should be done
77,we came here a few times and loved it when our baby was still small enough to keep her in the stroller now that she is a toddler we were looking forward to bringing her here and having her sit in a high chair and eat with us unfortunately they did not have any high chairs and we had to leave we were really disappointed and very surprised bocconcini is a little nicer that a pizza joint but not nice enough where they should be turning away families with small children yelp says they are good for kids don t think so
